EDUCATION,TOTALS
POP_M_18_24_E1,342
POP_M_18_24_E2,1568
POP_M_18_24_E3,3520
POP_M_18_24_E4,4893
POP_M_18_24_E5,300
POP_M_18_24_E6,798
POP_M_18_24_E7,123
POP_M_25_34_E1,266
POP_M_25_34_E2,1905
POP_M_25_34_E3,3813
POP_M_25_34_E4,2636
POP_M_25_34_E5,853
POP_M_25_34_E6,1715
POP_M_25_34_E7,436
POP_M_35_44_E1,639
POP_M_35_44_E2,1444
POP_M_35_44_E3,3234
POP_M_35_44_E4,2421
POP_M_35_44_E5,722
POP_M_35_44_E6,1283
POP_M_35_44_E7,596
POP_M_45_64_E1,1546
POP_M_45_64_E2,2113
POP_M_45_64_E3,5304
POP_M_45_64_E4,4696
POP_M_45_64_E5,1239
POP_M_45_64_E6,2946
POP_M_45_64_E7,1502
POP_M_65_OVER_E1,1151
POP_M_65_OVER_E2,903
POP_M_65_OVER_E3,2535
POP_M_65_OVER_E4,1923
POP_M_65_OVER_E5,457
POP_M_65_OVER_E6,1396
POP_M_65_OVER_E7,913
POP_F_18_24_E1,225
POP_F_18_24_E2,948
POP_F_18_24_E3,2869
POP_F_18_24_E4,4903
POP_F_18_24_E5,218
POP_F_18_24_E6,617
POP_F_18_24_E7,94
POP_F_25_34_E1,309
POP_F_25_34_E2,561
POP_F_25_34_E3,2513
POP_F_25_34_E4,3582
POP_F_25_34_E5,735
POP_F_25_34_E6,2230
POP_F_25_34_E7,469
POP_F_35_44_E1,334
POP_F_35_44_E2,890
POP_F_35_44_E3,2854
POP_F_35_44_E4,2270
POP_F_35_44_E5,741
POP_F_35_44_E6,1716
POP_F_35_44_E7,606
POP_F_45_64_E1,1391
POP_F_45_64_E2,1539
POP_F_45_64_E3,5658
POP_F_45_64_E4,5467
POP_F_45_64_E5,1449
POP_F_45_64_E6,2931
POP_F_45_64_E7,1309
POP_F_65_OVER_E1,1476
POP_F_65_OVER_E2,1775
POP_F_65_OVER_E3,4450
POP_F_65_OVER_E4,2532
POP_F_65_OVER_E5,481
POP_F_65_OVER_E6,1211
POP_F_65_OVER_E7,779
