RT,SERIALNO,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,AGEP,MAR,RELP,SCH,SCHL,SEX,WAGP,ESR,HISP,INDP,MSP,OC,OCCP10,PERNP,PINCP,RAC1P,RC
P,2.01E+12,1,1502,-9,22,1094136,11,28,1,0,1,21,2,30000,1,1,8090,1,0,3300,30000,30000,2,0
P,2.01E+12,2,1502,-9,22,1094136,16,33,1,1,1,16,1,60000,1,1,4090,1,0,9620,60000,60000,2,0
P,2.01E+12,1,1502,-9,22,1094136,16,93,2,0,1,19,2,0,6,1,,3,0,,0,71600,1,0
P,2.01E+12,1,1502,-9,22,1094136,19,59,3,0,1,24,1,62000,1,1,7870,4,0,2200,62000,62440,6,0
P,2.01E+12,2,1502,-9,22,1094136,55,23,5,10,2,21,1,11100,1,1,8680,6,0,4110,11100,11100,6,0
P,2.01E+12,1,1502,-9,22,1094136,44,27,5,0,1,23,2,18000,1,1,8190,6,0,3060,18000,18000,2,0
P,2.01E+12,1,1402,-9,22,1094136,54,57,1,0,1,21,1,90000,1,1,2290,1,0,740,90000,90000,1,0
P,2.01E+12,2,1402,-9,22,1094136,65,48,1,1,1,21,2,100000,1,1,6870,1,0,910,100000,100000,1,0
P,2.01E+12,3,1402,-9,22,1094136,72,9,5,2,3,6,1,,,1,,,1,,,,1,1
P,2.01E+12,1,1600,-9,22,1094136,17,28,1,0,1,21,1,58000,1,1,6990,1,0,710,58000,58000,1,0
P,2.01E+12,2,1600,-9,22,1094136,12,29,1,1,2,16,2,27000,1,1,6990,1,0,1060,27000,27000,1,0
P,2.01E+12,3,1600,-9,22,1094136,13,1,5,2,,,2,,,1,,,1,,,,1,1
P,2.01E+12,1,1401,-9,22,1094136,59,60,2,0,1,19,2,0,6,1,7580,3,0,136,0,87000,1,0
P,2.01E+12,1,1300,-9,22,1094136,16,71,4,0,1,1,1,0,6,1,,5,0,,0,15800,2,0
P,2.01E+12,1,1501,-9,22,1094136,16,93,2,0,1,17,1,0,6,1,,3,0,,0,13200,1,0
P,2.01E+12,1,1501,-9,22,1094136,36,40,1,0,1,21,1,110000,1,1,2070,2,0,1350,110000,110000,1,0
P,2.01E+12,1,1300,-9,22,1094136,11,34,5,16,1,17,1,0,6,1,,6,0,,0,0,1,0
P,2.01E+12,1,1501,-9,22,1094136,33,43,5,0,1,22,2,65000,1,1,7860,6,0,2320,65000,65000,2,0
P,2.01E+12,2,1501,-9,22,1094136,41,16,5,2,2,12,1,0,6,1,,6,1,,0,0,2,1
P,2.01E+12,1,1300,-9,22,1094136,15,70,2,16,1,14,1,0,6,1,,3,0,,0,0,2,0
P,2.01E+12,1,1300,-9,22,1094136,16,66,3,16,1,16,1,0,6,1,,4,0,,0,0,9,0
P,2.01E+12,1,1300,-9,22,1094136,30,60,3,0,1,17,2,9400,1,1,8370,4,0,4610,9400,9400,2,0
P,2.01E+12,2,1300,-9,22,1094136,23,44,3,2,1,19,2,0,6,1,170,4,0,6005,0,0,2,0
P,2.01E+12,3,1300,-9,22,1094136,30,25,5,7,1,17,1,0,6,1,7180,6,0,9130,0,0,2,0
P,2.01E+12,4,1300,-9,22,1094136,30,21,5,7,1,14,1,0,6,1,,6,0,,0,0,2,0
P,2.01E+12,5,1300,-9,22,1094136,20,2,5,7,,,2,,,1,,,0,,,,2,1
P,2.01E+12,6,1300,-9,22,1094136,71,49,1,9,1,16,1,16000,1,1,7770,2,0,4250,16000,16000,2,0
P,2.01E+12,1,1600,-9,22,1094136,53,32,4,0,1,16,2,29000,1,1,6880,5,0,5160,29000,29000,2,0
P,2.01E+12,2,1600,-9,22,1094136,42,5,5,2,1,3,1,,,1,,,1,,,,2,1
P,2.01E+12,3,1600,-9,22,1094136,49,2,5,2,,,2,,,1,,,1,,,,2,1
P,2.01E+12,1,1501,-9,22,1094136,39,38,5,0,1,18,1,20000,1,1,6170,6,0,9130,20000,20000,2,0
P,2.01E+12,1,1401,-9,22,1094136,24,67,3,0,1,22,2,1600,3,1,9470,4,0,5700,1600,3200,1,0
P,2.01E+12,1,1600,-9,22,1094136,3,65,1,0,1,16,1,0,6,1,,1,0,,0,29400,1,0
P,2.01E+12,2,1600,-9,22,1094136,4,63,1,1,1,19,2,0,6,1,,1,0,,0,5400,1,0
P,2.01E+12,3,1600,-9,22,1094136,6,42,3,2,1,19,2,45000,1,1,8190,4,0,5020,45000,45000,1,0
P,2.01E+12,1,1600,-9,22,1094136,15,71,1,0,1,16,2,0,6,1,,1,0,,0,27300,1,0
P,2.01E+12,2,1600,-9,22,1094136,15,72,1,1,1,19,1,0,6,1,,1,0,,0,32900,1,0
P,2.01E+12,1,1402,-9,22,1094136,21,45,5,0,1,18,2,24000,1,1,6990,6,0,800,24000,24000,2,0
P,2.01E+12,2,1402,-9,22,1094136,24,26,5,2,1,20,1,17000,1,1,8770,6,0,4710,17000,17000,2,0
P,2.01E+12,1,1600,-9,22,1094136,63,42,1,0,1,19,1,26000,1,1,770,1,0,6320,26000,26000,1,0
P,2.01E+12,2,1600,-9,22,1094136,56,38,1,1,1,21,2,740,3,1,6890,1,0,910,740,740,1,0
P,2.01E+12,3,1600,-9,22,1094136,56,12,5,2,2,9,2,,,1,,,1,,,,1,1
P,2.01E+12,4,1600,-9,22,1094136,56,8,5,2,2,5,2,,,1,,,1,,,,1,1
