RT,SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,MAR,RELP,SCH,SCHL,SEX,WAGP,ESR,HISP,MSP,OC,PERNP,PINCP,RAC1P,RC
P,2006000000000.00,1,1402,22,1098342,4,58,1,0,1,9,1,0,6,1,1,0,0,11000,1,0
P,2006000000000.00,2,1402,22,1098342,5,55,1,1,1,11,2,31000,1,1,1,0,31000,178000,1,0
P,2006000000000.00,1,1600,22,1098342,29,82,2,0,1,4,1,0,6,1,3,0,0,11900,1,0
P,2006000000000.00,1,1600,22,1098342,19,39,1,0,1,11,1,50000,1,1,1,0,50000,50000,1,0
P,2006000000000.00,2,1600,22,1098342,19,37,1,1,1,10,2,40000,1,1,1,0,40000,40000,1,0
P,2006000000000.00,3,1600,22,1098342,18,11,5,2,2,3,1,,,1,,1,,,1,1
P,2006000000000.00,1,1600,22,1098342,18,84,2,0,1,7,2,0,6,1,3,0,0,14900,1,0
P,2006000000000.00,1,1402,22,1098342,33,50,5,0,2,16,1,0,1,1,6,0,283000,283000,1,0
P,2006000000000.00,1,1300,22,1098342,3,53,1,0,1,13,1,85000,1,1,1,0,85000,90000,1,0
P,2006000000000.00,2,1300,22,1098342,3,53,1,1,1,13,2,50000,1,1,1,0,50000,50000,1,0
P,2006000000000.00,1,1300,22,1098342,18,38,3,0,1,13,2,90000,1,1,4,0,90000,90000,1,0
P,2006000000000.00,2,1300,22,1098342,17,12,5,2,2,3,2,,,1,,1,,,1,1
P,2006000000000.00,3,1300,22,1098342,23,10,5,2,2,2,1,,,1,,1,,,1,1
P,2006000000000.00,4,1300,22,1098342,16,6,5,2,2,2,2,,,1,,1,,,1,1
P,2006000000000.00,1,1600,22,1098342,6,45,1,0,1,9,1,50000,1,1,1,0,50000,50000,1,0
P,2006000000000.00,2,1600,22,1098342,3,42,1,1,1,11,2,0,6,1,1,0,0,0,9,0
P,2006000000000.00,3,1600,22,1098342,5,17,5,2,2,6,2,0,6,1,6,1,0,0,9,1
P,2006000000000.00,4,1600,22,1098342,4,0,5,5,,,1,,,1,,0,,,9,1
P,2006000000000.00,1,1502,22,1098342,14,37,1,0,1,11,1,0,1,1,1,0,60000,60000,6,0
P,2006000000000.00,2,1502,22,1098342,17,33,1,1,1,11,2,17300,6,1,1,0,17300,17300,6,0
P,2006000000000.00,3,1502,22,1098342,16,12,5,2,2,3,1,,,1,,1,,,6,1
P,2006000000000.00,4,1502,22,1098342,13,8,5,2,2,2,2,,,1,,1,,,6,1
P,2006000000000.00,5,1502,22,1098342,32,60,3,6,1,9,2,0,1,1,4,0,6000,6000,6,0
P,2006000000000.00,6,1502,22,1098342,23,22,3,6,1,11,2,6500,6,1,4,0,6500,6500,6,0
P,2006000000000.00,7,1502,22,1098342,16,9,5,6,2,2,1,,,1,,0,,,6,1
P,2006000000000.00,8,1502,22,1098342,13,8,5,6,2,2,2,,,1,,0,,,6,1
P,2006000000000.00,9,1502,22,1098342,20,4,5,6,1,1,2,,,1,,0,,,6,1
P,2006000000000.00,10,1502,22,1098342,19,3,5,6,1,1,2,,,1,,0,,,6,1
P,2006000000000.00,1,1401,22,1098342,17,33,5,0,1,13,2,40000,1,1,6,0,40000,40000,2,0
P,2006000000000.00,2,1401,22,1098342,15,32,5,10,1,11,1,24000,1,1,6,0,24000,24390,2,0
P,2006000000000.00,1,1502,22,1098342,51,47,3,0,1,7,2,3200,6,1,4,0,3200,5200,1,0
P,2006000000000.00,1,1502,22,1098342,15,73,5,0,1,16,2,64000,1,1,6,0,64000,76000,1,0
P,2006000000000.00,1,1402,22,1098342,33,52,1,0,1,15,1,0,1,1,1,0,283000,283000,2,0
P,2006000000000.00,2,1402,22,1098342,24,44,1,1,1,13,2,70000,1,1,1,0,70000,70000,2,0
P,2006000000000.00,3,1402,22,1098342,23,7,5,2,3,2,2,,,1,,1,,,2,1
P,2006000000000.00,1,1501,22,1098342,17,27,5,14,1,1,1,0,6,1,6,0,0,7200,2,0
P,2006000000000.00,1,1600,22,1098342,8,41,1,0,2,9,2,4000,1,24,1,0,4000,4000,9,0
P,2006000000000.00,2,1600,22,1098342,3,41,1,1,1,9,1,42000,1,1,1,0,42000,46500,1,0
P,2006000000000.00,3,1600,22,1098342,6,15,5,2,2,5,2,0,,24,6,1,,0,9,1
P,2006000000000.00,4,1600,22,1098342,7,14,5,2,2,4,1,,,24,,1,,,9,1
P,2006000000000.00,5,1600,22,1098342,5,10,5,2,2,2,2,,,24,,1,,,9,1
P,2006000000000.00,1,1501,22,1098342,11,37,5,0,1,13,2,12000,1,1,6,0,12000,13300,2,0
P,2006000000000.00,2,1501,22,1098342,10,10,5,2,2,2,1,,,1,,1,,,2,1
P,2006000000000.00,3,1501,22,1098342,13,0,5,2,,,1,,,1,,1,,,2,1
P,2006000000000.00,1,1502,22,1098342,9,34,1,0,1,6,1,18500,1,1,1,0,18500,18500,2,0
