GROUP,RACE,TOTAL
POP_M_18_24,Hispanic or Latino (of any race) (200-299),2112
POP_M_18_24,White alone,26672
POP_M_18_24,Black or African American alone,17409
POP_M_18_24,American Indian and Alaska Native alone,132
POP_M_18_24,Asian alone,1079
POP_M_18_24,Some other race alone,61
POP_M_18_24,Two or more races,605
POP_M_25_34,Hispanic or Latino (of any race) (200-299),3200
POP_M_25_34,White alone,30811
POP_M_25_34,Black or African American alone,18887
POP_M_25_34,American Indian and Alaska Native alone,15
POP_M_25_34,Asian alone,1680
POP_M_25_34,Some other race alone,45
POP_M_25_34,Two or more races,255
POP_M_35_44,Hispanic or Latino (of any race) (200-299),2147
POP_M_35_44,White alone,31105
POP_M_35_44,Black or African American alone,16948
POP_M_35_44,American Indian and Alaska Native alone,157
POP_M_35_44,Asian alone,1053
POP_M_35_44,Some other race alone,46
POP_M_35_44,Two or more races,429
POP_M_45_64,Hispanic or Latino (of any race) (200-299),1709
POP_M_45_64,White alone,62193
POP_M_45_64,Black or African American alone,29302
POP_M_45_64,American Indian and Alaska Native alone,327
POP_M_45_64,Asian alone,1202
POP_M_45_64,Some other race alone,134
POP_M_45_64,Two or more races,604
POP_M_65_OVER,Hispanic or Latino (of any race) (200-299),665
POP_M_65_OVER,White alone,25410
POP_M_65_OVER,Black or African American alone,8363
POP_M_65_OVER,American Indian and Alaska Native alone,69
POP_M_65_OVER,Asian alone,357
POP_M_65_OVER,Some other race alone,23
POP_M_65_OVER,Two or more races,116
POP_F_18_24,Hispanic or Latino (of any race) (200-299),1567
POP_F_18_24,White alone,25940
POP_F_18_24,Black or African American alone,18330
POP_F_18_24,American Indian and Alaska Native alone,28
POP_F_18_24,Asian alone,920
POP_F_18_24,Some other race alone,91
POP_F_18_24,Two or more races,690
POP_F_25_34,Hispanic or Latino (of any race) (200-299),1874
POP_F_25_34,White alone,30073
POP_F_25_34,Black or African American alone,21275
POP_F_25_34,American Indian and Alaska Native alone,134
POP_F_25_34,Asian alone,1338
POP_F_25_34,Some other race alone,54
POP_F_25_34,Two or more races,416
POP_F_35_44,Hispanic or Latino (of any race) (200-299),1447
POP_F_35_44,White alone,30961
POP_F_35_44,Black or African American alone,19312
POP_F_35_44,American Indian and Alaska Native alone,85
POP_F_35_44,Asian alone,1155
POP_F_35_44,Some other race alone,71
POP_F_35_44,Two or more races,196
POP_F_45_64,Hispanic or Latino (of any race) (200-299),1706
POP_F_45_64,White alone,63584
POP_F_45_64,Black or African American alone,33896
POP_F_45_64,American Indian and Alaska Native alone,242
POP_F_45_64,Asian alone,1348
POP_F_45_64,Some other race alone,84
POP_F_45_64,Two or more races,767
POP_F_65_OVER,Hispanic or Latino (of any race) (200-299),645
POP_F_65_OVER,White alone,33664
POP_F_65_OVER,Black or African American alone,12830
POP_F_65_OVER,American Indian and Alaska Native alone,26
POP_F_65_OVER,Asian alone,367
POP_F_65_OVER,Some other race alone,46
POP_F_65_OVER,Two or more races,104
