EDUCATION,TOTALS
POP_TOT,622530
POP_M_18_24_E1,1257
POP_M_18_24_E2,7072
POP_M_18_24_E3,14068
POP_M_18_24_E4,22044
POP_M_18_24_E5,998
POP_M_18_24_E6,3020
POP_M_18_24_E7,590
POP_M_25_34_E1,2291
POP_M_25_34_E2,6396
POP_M_25_34_E3,17212
POP_M_25_34_E4,13777
POP_M_25_34_E5,4109
POP_M_25_34_E6,12296
POP_M_25_34_E7,3798
POP_M_35_44_E1,1397
POP_M_35_44_E2,4939
POP_M_35_44_E3,17120
POP_M_35_44_E4,10805
POP_M_35_44_E5,3133
POP_M_35_44_E6,9960
POP_M_35_44_E7,3750
POP_M_45_64_E1,4194
POP_M_45_64_E2,9491
POP_M_45_64_E3,35841
POP_M_45_64_E4,20462
POP_M_45_64_E5,4158
POP_M_45_64_E6,15960
POP_M_45_64_E7,8558
POP_M_65_OVER_E1,3841
POP_M_65_OVER_E2,4415
POP_M_65_OVER_E3,13246
POP_M_65_OVER_E4,8277
POP_M_65_OVER_E5,1033
POP_M_65_OVER_E6,6682
POP_M_65_OVER_E7,4877
POP_F_18_24_E1,899
POP_F_18_24_E2,5848
POP_F_18_24_E3,11828
POP_F_18_24_E4,23289
POP_F_18_24_E5,1378
POP_F_18_24_E6,5294
POP_F_18_24_E7,285
POP_F_25_34_E1,1451
POP_F_25_34_E2,4487
POP_F_25_34_E3,12441
POP_F_25_34_E4,14899
POP_F_25_34_E5,4639
POP_F_25_34_E6,15796
POP_F_25_34_E7,5543
POP_F_35_44_E1,926
POP_F_35_44_E2,3990
POP_F_35_44_E3,13624
POP_F_35_44_E4,11706
POP_F_35_44_E5,4161
POP_F_35_44_E6,11711
POP_F_35_44_E7,5909
POP_F_45_64_E1,2668
POP_F_45_64_E2,7574
POP_F_45_64_E3,37830
POP_F_45_64_E4,24435
POP_F_45_64_E5,6271
POP_F_45_64_E6,17572
POP_F_45_64_E7,9586
POP_F_65_OVER_E1,4607
POP_F_65_OVER_E2,6561
POP_F_65_OVER_E3,21712
POP_F_65_OVER_E4,10246
POP_F_65_OVER_E5,1733
POP_F_65_OVER_E6,5381
POP_F_65_OVER_E7,5183
