GEO_ID,GEO.id2,NAME,RACE,GROUP,TOTAL
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","American Indian and Alaska Native alone, not Hispanic or Latino",POP_18_OVER_R1,3031
310M200US14460,14461,"Boston-Cambridge-Newton, MA-NH Metro Area","Asian alone, not Hispanic or Latino",POP_18_OVER_R2,219742
310M200US14460,14462,"Boston-Cambridge-Newton, MA-NH Metro Area","Black or African American alone, not Hispanic or Latino",POP_18_OVER_R3,218470
310M200US14460,14463,"Boston-Cambridge-Newton, MA-NH Metro Area",Hispanic or Latino (of any race) (200-299),POP_18_OVER_R4,260702
310M200US14460,14464,"Boston-Cambridge-Newton, MA-NH Metro Area","Some other race alone, not Hispanic or Latino",POP_18_OVER_R5,25055
310M200US14460,14465,"Boston-Cambridge-Newton, MA-NH Metro Area","Two or more races, not Hispanic or Latino",POP_18_OVER_R6,34764
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","White alone, not Hispanic or Latino",POP_18_OVER_R7,2737698
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","American Indian and Alaska Native alone, not Hispanic or Latino",POP_M_18_24,210
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","Asian alone, not Hispanic or Latino",POP_M_18_24,17957
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","Black or African American alone, not Hispanic or Latino",POP_M_18_24,18287
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area",Hispanic or Latino (of any race) (200-299),POP_M_18_24,27662
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","Some other race alone, not Hispanic or Latino",POP_M_18_24,2182
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","Two or more races, not Hispanic or Latino",POP_M_18_24,4301
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","White alone, not Hispanic or Latino",POP_M_18_24,157781
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","American Indian and Alaska Native alone, not Hispanic or Latino",POP_M_25_34,192
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","Asian alone, not Hispanic or Latino",POP_M_25_34,28212
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","Black or African American alone, not Hispanic or Latino",POP_M_25_34,20678
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area",Hispanic or Latino (of any race) (200-299),POP_M_25_34,35795
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","Some other race alone, not Hispanic or Latino",POP_M_25_34,4199
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","Two or more races, not Hispanic or Latino",POP_M_25_34,3888
310M200US14460,14466,"Boston-Cambridge-Newton, MA-NH Metro Area","White alone, not Hispanic or Latino",POP_M_25_34,204047
